asset_type,name,project,location,display_name,labels
rbac.authorization.k8s.io/RoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/rolebindings/snapshot-controller-leaderelection,projects/192823657524,europe-north2,snapshot-controller-leaderelection,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/snapshot-controller-runner,projects/192823657524,europe-north2,snapshot-controller-runner,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:service-steering,projects/192823657524,europe-north2,system:service-steering,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/system:slo-monitor,projects/192823657524,europe-north2,system:slo-monitor,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:slo-monitor,projects/192823657524,europe-north2,system:slo-monitor,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/RoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/rolebindings/system::leader-locking-service-steering,projects/192823657524,europe-north2,system::leader-locking-service-steering,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/system:service-steering,projects/192823657524,europe-north2,system:service-steering,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/Role,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system::leader-locking-service-steering,projects/192823657524,europe-north2,system::leader-locking-service-steering,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:resource-tracker,projects/192823657524,europe-north2,system:resource-tracker,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:pip-controller-manager,projects/192823657524,europe-north2,system:pip-controller-manager,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/system:resource-tracker,projects/192823657524,europe-north2,system:resource-tracker,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/Role,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system:leader-election-pip-controller-manager,projects/192823657524,europe-north2,system:leader-election-pip-controller-manager,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/system:pip-controller-manager,projects/192823657524,europe-north2,system:pip-controller-manager,addonmanager.kubernetes.io/mode=Reconcile
rbac.authorization.k8s.io/RoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/rolebindings/system:leader-election-pip-controller-manager,projects/192823657524,europe-north2,system:leader-election-pip-controller-manager,addonmanager.kubernetes.io/mode=Reconcile
gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-passthrough-lb-external-managed,projects/192823657524,europe-north2,gke-passthrough-lb-external-managed,addonmanager.kubernetes.io/mode=Reconcile
gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-passthrough-lb-internal-managed,projects/192823657524,europe-north2,gke-passthrough-lb-internal-managed,addonmanager.kubernetes.io/mode=Reconcile
